goods_no,카테고리,brand,name,주요사양,sale_price,구성품수,성분수,커버리지%,효능태그,고시기능성성분,표기함량,향료,알레르기유발착향,공인근거비율%,보습,유연,밀폐보습,장벽강화,진정,항산화,미백,주름개선,피지조절,피지흡착,여드름,각질제거,자외선차단,재생,탄력,코메도점수,코메도성분,에센셜오일,무향판정
A000000223483,로션,피지오겔,피지오겔 아쿠아 포맨 오일컷 올인원 100ml (단품/기획),모든피부용,24900,1,75,99,보습|장벽강화|피지조절|밀폐보습|미백|피지흡착|유연|주름개선|항산화,"미백:나이아신아마이드, 주름개선:아데노신",마데카소사이드 0.1ppm; 아시아코사이드 0.04ppm; 마데카식애씨드 0.035ppm; 아시아틱애씨드 0.025ppm,N,0,87,24,2,7,8,0,3,3,2,4,3,0,0,0,0,0,0,,0,Y
A000000235496,로션,크리니크,크리니크 노란에센스로션&젤 125ml (피부타입별 선택),"로션 : 극건성, 건성 / 젤 : 복합성, 지성",49300,3,22,100,유연|밀폐보습|장벽강화|보습|진정|항산화|각질제거|피지흡착,,,N,0,95,6,5,9,9,4,4,0,0,0,1,0,1,0,0,0,6,미네랄오일;페트롤라툼,0,Y
A000000183229,로션,라운드랩,[민감피부/저자극] 라운드랩 포 맨 1025 독도 올인원 플루이드 200ml+200ml,모든 피부용,31500,1,37,97,밀폐보습|보습|장벽강화|항산화|진정|유연,,,N,0,86,10,3,7,3,3,5,0,0,0,0,0,0,0,0,0,0,,0,Y
A000000237493,로션,코스노리,[리뷰이벤트/장벽로션] 코스노리 판테놀 베리어 에멀전 150ml,모든피부,18000,1,53,100,보습|장벽강화|진정|유연|밀폐보습|미백|항산화|주름개선,"미백:나이아신아마이드, 주름개선:아데노신",,N,0,89,14,4,11,14,8,10,2,1,0,0,0,0,0,0,0,1,시어버터,1,N
A000000145576,로션,라운드랩,[저자극] 라운드랩 1025 독도 로션 200ml 기획 (+50ml),모든 피부용,18000,1,27,100,보습|장벽강화|밀폐보습|유연|각질제거|진정|항산화,,,N,0,96,11,6,5,3,2,3,0,0,0,0,0,4,0,0,0,0,,0,Y
A000000199154,로션,라운드랩,[민감진정/화해1위] 라운드랩 포 맨 소나무 진정 시카 로션 200ml,모든피부용,17600,1,40,100,보습|장벽강화|항산화|진정|유연|피지조절|밀폐보습|피지흡착,,소나무잎추출물 0.100061%; 병풀잎추출물 10.6ppm; 병풀추출물 0.01ppm; 글라이코프로테인 0ppm; 아시아티코사이드 0ppm; 아시아틱애씨드 0ppm; 마데카소사이드 0ppm; 마데카식애씨드 0ppm,N,0,88,10,4,1,8,9,16,0,0,2,1,0,0,0,0,0,1,에틸헥실팔미테이트,1,N
A000000170690,로션,유세린,[미백잡티] 유세린 이븐래디언스 모이스처라이저 50ml,모든 피부용,30400,1,27,96,보습|장벽강화|유연|미백|밀폐보습|항산화|진정,"미백:나이아신아마이드, 미백:아스코빌글루코사이드",,N,0,85,9,6,3,3,1,5,4,0,0,0,0,0,0,0,0,0,,0,Y
A000000242173,로션,아이오페,[맨PDRN]아이오페 XMD 클리니컬 리커버리 올인원 포맨 기획 120g(+30g),특수관리 액티브 PDRN H.A.™ BOOSTER COMPLEX 72.2%를 담아 피부 깊숙이 탄력 플럼핑 효과를 선사하는 스킨부스팅 올인원,29400,1,26,96,보습|장벽강화|피지조절|미백|유연|진정|항산화|주름개선|밀폐보습|탄력|재생,"미백:나이아신아마이드, 주름개선:아데노신",,Y,1,92,13,1,1,3,1,2,2,2,3,0,0,0,0,1,1,0,,0,N
A000000155994,로션,포맨트,포맨트 시그니처 올인원 에센스 96ml,모든피부용,28900,1,55,100,자외선차단|유연|미백|항산화|보습|밀폐보습|주름개선|진정|피지조절|장벽강화,"미백:나이아신아마이드, 자외선차단:비스-에칠헥실옥시페놀메톡시페닐트리아진, 자외선차단:에칠헥실메톡시신나메이트, 자외선차단:에칠헥실살리실레이트, 자외선차단:티타늄디옥사이드, 자외선차단:호모살레이트, 주름개선:아데노신",,Y,4,95,11,10,3,2,3,9,2,1,2,0,0,0,13,0,0,1,올레익애씨드,1,N
A000000223427,로션,달바,[미백/잡티케어] 달바 비타 토닝 세럼 로션 100ml,모든 피부타입,33600,1,83,100,보습|장벽강화|유연|미백|밀폐보습|각질제거|진정|항산화|주름개선,"미백:나이아신아마이드, 주름개선:아데노신",비타민나무수 59.6692%; 나이아신아마이드 2%; 비타민나무오일 0.4%; 비타민나무열매오일 0.001ppm; 판테놀 0.5%; 토코페롤 9ppm,Y,5,89,29,10,15,6,6,8,2,1,0,0,0,2,0,0,0,0,,0,N
A000000197739,로션,라운드랩,[지성피부/유분케어] 라운드랩 포 맨 1025 독도 올인원 젤로션 200ml+200ml,모든 피부용,31500,1,38,100,유연|보습|피지조절|진정|항산화|장벽강화|밀폐보습|피지흡착,,,N,0,97,15,5,1,4,7,10,0,0,5,1,0,0,0,0,0,0,,2,N
A000000234380,로션,브링그린,[화해1위] 브링그린 블루빈 B5-PDRN 마일드 로션 230ml (+블루빈크림 7ml),■ 모든 피부용,21000,2,84,98,보습|장벽강화|유연|진정|항산화|밀폐보습|피지흡착,,판테놀 2.7%; 콩추출물 0.075%; 세라마이드엔피 30ppm; 판토테닉애씨드 15ppm; 소듐디엔에이 0.01ppm,N,0,80,15,11,11,11,10,10,0,0,0,1,0,0,0,0,0,1,시어버터,0,Y
A000000185235,로션,닥터지,[지성/증정 기획] 닥터지 레드 블레미쉬 포 맨 올인원 오일컷 로션 150ml (150+30 기획/150 단품),"모든피부, 지성피부",20300,1,44,100,보습|밀폐보습|미백|피지흡착|항산화|주름개선|유연|진정|장벽강화|피지조절,"미백:나이아신아마이드, 주름개선:아데노신",,N,0,91,10,4,7,3,3,10,3,1,1,2,0,0,0,0,0,1,에틸헥실팔미테이트,0,Y
A000000219845,로션,메이크프렘,[쿨링진정]메이크프렘 인테카 포맨 수딩 올인원 200ml (기획/단품),모든 피부 타입,19900,1,62,100,미백|보습|장벽강화|유연|밀폐보습|항산화|진정|각질제거,미백:나이아신아마이드,,N,0,90,19,13,8,8,4,6,3,0,0,0,0,1,0,0,0,0,,2,N
A000000259898,로션,우르오스,우르오스 올인원 스킨브리지로션 120ml,■ 모든 피부용,19900,1,22,100,피지조절|보습|장벽강화|유연,,,N,1,95,7,4,0,3,0,0,0,0,6,0,0,0,0,0,0,0,,4,N
B000000234131,로션,헤라,[단독기프트/업체배송] 헤라 옴므 올인원 스킨 하이드로 트리트먼트 150ml 단품/기획,모든 피부,38400,1,72,100,보습|장벽강화|피지조절|미백|유연|피지흡착|주름개선|밀폐보습|항산화|진정|탄력|재생,"미백:나이아신아마이드, 주름개선:아데노신",,Y,2,93,22,8,1,7,2,4,2,3,4,3,0,0,0,2,2,2,미리스틱애씨드;라우릭애씨드,0,N
A000000206692,로션,토리든,토리든 다이브인 포맨 저분자 히알루론산 젤 로션 200ml,모든 피부 타입,17600,1,43,98,보습|장벽강화|진정|항산화|유연|밀폐보습|피지흡착,,하이드롤라이즈드하이알루로닉애씨드 0.011%,N,0,91,24,2,1,5,6,7,0,0,0,1,0,0,0,0,0,0,,0,Y
A000000232217,로션,식물나라,[화잘먹로션] 식물나라 뽀얀쌀 맑은톤 로션 300ml,■ 모든 피부용,10800,1,59,100,미백|보습|장벽강화|밀폐보습|진정|항산화|유연|피지흡착,미백:나이아신아마이드,쌀추출물 0.01%; 하이드롤라이즈드쌀추출물 0.5ppm; 쌀겨추출물 0.5ppm; 쌀겨수 0.5ppm,N,0,90,20,4,5,3,7,7,4,0,0,1,0,0,0,0,0,0,,0,Y
A000000203247,로션,바이오힐보,[탄력에멀전] 바이오힐보 프로바이오덤 3D 리프팅 에멀전 150ml,모든 피부용,23000,1,70,96,진정|장벽강화|항산화|보습|밀폐보습|주름개선|탄력|재생|유연|피지흡착,주름개선:아데노신,,Y,0,84,18,8,6,9,6,8,0,14,0,2,0,0,0,13,13,0,,0,N
A000000207111,로션,토리든,토리든 다이브인 포맨 저분자 히알루론산 올인원 200g 단품/기획 (+올인원 20g),모든 피부 타입,19200,1,34,97,보습|장벽강화|밀폐보습|주름개선|유연|탄력|재생,주름개선:아데노신,,N,0,88,22,1,3,4,0,0,0,3,0,0,0,0,0,1,1,0,,0,Y
A000000230537,로션,오브제,[미피 랜덤파우치 증정] 오브제 포어 제로 프레쉬 올인원 150ml 단품/기획,모든 피부 타입,20900,1,38,100,보습|장벽강화|미백|유연|주름개선|진정|항산화|밀폐보습,"미백:나이아신아마이드, 주름개선:아데노신",,Y,0,82,10,5,1,5,9,14,3,2,0,0,0,0,0,0,0,0,,1,N
A000000222769,로션,아이디얼포맨,[프레시/시카] 아이디얼포맨 올인원 2종 단품/기획,모든 피부 타입,11800,2,85,99,보습|미백|유연|장벽강화|밀폐보습|진정|항산화|피지조절|주름개선,"미백:나이아신아마이드, 주름개선:아데노신",,Y,0,85,24,7,7,7,14,21,3,2,1,0,0,0,0,0,0,0,,0,N
A000000207459,로션,닥터지,[올인원+클렌징폼] 닥터지 레드 블레미쉬 포 맨 진정올인원+클렌징폼 2종 기획 세트,모든 피부용.,29900,1,86,95,미백|밀폐보습|보습|장벽강화|유연|주름개선|진정|항산화|피지조절|피지흡착|각질제거|여드름,"미백:나이아신아마이드, 여드름:살리실릭애씨드, 주름개선:아데노신",,N,0,85,12,8,8,7,10,22,3,1,2,1,1,1,0,0,0,0,,2,N
A000000244690,로션,키엘,[NEW] 키엘 훼이셜 퓨얼 인비고레이팅 모이스춰 트리트먼트 포 맨(75ml/125ml),"중성, 중지성, 지성",52200,1,43,100,유연|피지조절|보습|장벽강화|밀폐보습|진정|항산화|미백|자외선차단,미백:아스코빌글루코사이드,,Y,3,84,5,9,5,5,5,4,2,0,3,0,0,0,1,0,0,0,,0,N
A000000257652,로션,오휘,오휘 더 퍼스트 제너츄어 포맨 모이스처라이저 110ml,모든피부용,60350,1,34,100,보습|장벽강화|유연|주름개선|미백|진정|항산화|탄력|재생,"미백:나이아신아마이드, 주름개선:아데노신",,Y,2,91,13,5,0,6,2,1,2,7,0,0,0,0,0,6,6,0,,0,N
A000000199270,로션,아이오페,아이오페 맨 프로 레티놀 올인원 120ml 기획 (+30ml),주름과 피부 톤을 전문적으로 개선해주는 간편한 남성 전용 레티놀 올인원 에센스,28500,1,45,98,유연|보습|장벽강화|미백|밀폐보습|항산화|피지흡착|주름개선|진정,"미백:나이아신아마이드, 미백:에칠아스코빌에텔, 주름개선:레티놀, 주름개선:아데노신",,Y,2,89,4,7,3,4,2,5,3,3,0,2,0,0,0,0,0,2,미리스틱애씨드;라우릭애씨드,0,N
A000000129771,로션,피지오겔,피지오겔 레드수딩 AI 진정보습 로션 200ml,모든 피부용,25900,1,17,94,밀폐보습|보습|장벽강화|유연,,,N,0,88,7,2,8,4,0,0,0,0,0,0,0,0,0,0,0,0,,0,Y
A000000140891,로션,미프,미프 리페어 앤 리프팅,모든 피부용,25900,1,36,94,보습|장벽강화|피지조절|유연|항산화|진정|미백|주름개선|밀폐보습,주름개선:아데노신,,N,2,83,9,9,2,6,3,5,2,1,3,0,0,0,0,0,0,0,,0,N
A000000183744,로션,한율,[시카보다 4배*강한] 한율 어린쑥 수분진정 플루이드 125ml,모든피부,25600,1,30,100,보습|장벽강화|진정|항산화|유연|피지흡착|밀폐보습,,황해쑥잎수 1.8944%; 판테놀 0.5%; 황해쑥잎추출물 10ppm,Y,0,97,7,5,1,4,6,7,0,0,0,2,0,0,0,0,0,0,,0,N
A000000223196,로션,아이디얼포맨,[맨즈1등 올인원] 아이디얼포맨 프레시/시카/선 올인원 (단품/기획),모든 피부 타입,14800,3,129,99,보습|장벽강화|미백|진정|항산화|유연|밀폐보습|주름개선|피지조절|자외선차단,"미백:나이아신아마이드, 자외선차단:디에칠아미노하이드록시벤조일헥실벤조에이트, 자외선차단:메칠렌비스-벤조트리아졸릴테트라메칠부틸페놀, 자외선차단:에칠헥실트리아존, 주름개선:아데노신",,Y,0,88,30,14,8,9,16,25,4,3,1,0,0,0,4,0,0,0,,0,N
A000000149211,로션,AHC,[수분탄력] AHC 온리포맨 올인원 에센스 더블 기획 (120ml+120ml),모든 피부용,24900,1,69,99,보습|장벽강화|미백|밀폐보습|진정|항산화|유연|피지조절|주름개선|피지흡착,"미백:나이아신아마이드, 주름개선:아데노신",,Y,0,87,19,6,5,11,22,26,3,1,2,1,0,0,0,0,0,1,시어버터,0,N
A000000149214,로션,AHC,[산뜻보송] AHC 온리포맨 포어 프레쉬 올인원에센스 더블 기획 (120ml+120ml),모든 피부용,24900,1,40,98,피지조절|미백|보습|장벽강화|진정|항산화|각질제거|유연|피지흡착|주름개선|밀폐보습,"미백:나이아신아마이드, 주름개선:아데노신",,Y,0,88,11,2,2,6,10,14,3,1,4,1,0,2,0,0,0,0,,1,N
A000000252600,로션,바이오힐보,[화잘먹프렙] 바이오힐보 판테셀 리페어시카 수분 로션 100mL,모든 피부용,16000,1,64,100,보습|장벽강화|밀폐보습|유연|진정|항산화|주름개선|탄력|재생,,판테놀 1%,N,0,88,24,5,8,8,9,10,0,8,0,0,0,0,0,8,8,0,,0,Y
A000000198090,로션,닥터자르트,[72시간보습로션] 닥터자르트 세라마이딘 스킨 베리어 모이스처라이징 밀키 로션 50ml,모든피부용,50000,1,36,100,보습|장벽강화|유연|밀폐보습|진정|항산화|피지흡착,,세라마이드엔피 0.2%,Y,0,94,9,12,4,4,1,2,0,0,0,3,0,0,0,0,0,0,,0,N
A000000230762,로션,이니스프리,[올인원] 이니스프리 포레스트포맨 올인원 에센스 100ml 기획(+에센스 25ml+폼30g),"[포어 케어] 중성, 지성, 복합성",21750,1,32,100,밀폐보습|장벽강화|보습|유연|진정|항산화,,,Y,2,94,10,5,4,5,1,3,0,0,0,0,0,0,0,0,0,0,,0,N
A000000015971,로션,우르오스,우르오스 올인원 스킨컨디셔너 60g,■ 최적의 피부 컨디션을 위한 올인원 모이스처라이저(모든피부용),20000,1,37,97,유연|피지조절|보습|장벽강화|밀폐보습|피지흡착|항산화|진정,,,N,2,92,7,11,6,5,1,2,0,0,3,1,0,0,0,0,0,0,,3,N
A000000199665,로션,리얼베리어,리얼베리어 익스트림 로션 150ml 기획 (+50ml),모든피부용,19500,1,40,100,보습|장벽강화|밀폐보습|유연|항산화|주름개선|탄력|재생|진정,,,N,0,95,14,4,11,10,1,3,0,1,0,0,0,0,0,1,1,0,,3,N
A000000248847,로션,비레디,[포켓몬 에디션]비레디 오일캡처 올인원 로션 기획(+피카츄 스트레스볼),모든피부,19400,1,41,100,보습|장벽강화|미백|피지조절|밀폐보습|피지흡착|유연|주름개선|진정|항산화,"미백:나이아신아마이드, 주름개선:아데노신",,Y,0,95,13,5,5,7,2,4,3,1,4,2,0,0,0,0,0,2,미리스틱애씨드;라우릭애씨드,0,N
A000000167411,로션,헤라,헤라 옴므 올인원 스킨 하이드로 트리트먼트 150ML,모든 피부,38400,1,72,100,보습|장벽강화|피지조절|미백|유연|피지흡착|주름개선|밀폐보습|항산화|진정|탄력|재생,"미백:나이아신아마이드, 주름개선:아데노신",,Y,2,93,22,8,1,7,2,4,2,3,4,3,0,0,0,2,2,2,미리스틱애씨드;라우릭애씨드,0,N
A000000212251,로션,오브제,오브제 포어 제로 오일 컨트롤 로션 70ml,모든피부타입,17800,1,34,100,미백|진정|항산화|장벽강화|유연|보습|피지조절|주름개선|밀폐보습,"미백:나이아신아마이드, 주름개선:아데노신",,N,0,91,7,4,1,2,10,17,3,1,4,0,0,0,0,0,0,0,,1,N
A000000242745,로션,빌리프,빌리프 프라블럼 솔루션 비건 모이스춰라이저 100ml,모든피부용,36960,1,50,100,보습|장벽강화|유연|진정|항산화|밀폐보습|피지조절,,,N,4,96,9,10,6,4,12,19,0,0,1,0,0,0,0,0,0,0,,5,N
A000000201011,로션,식물나라,[화잘먹로션] 식물나라 뽀얀쌀 맑은톤 로션 300ml,■ 모든 피부용,10800,1,36,100,보습|장벽강화|밀폐보습|미백|유연|진정|항산화|피지흡착,미백:나이아신아마이드,,N,0,94,19,7,3,3,1,1,3,0,0,1,0,0,0,0,0,0,,0,Y
A000000161777,로션,우르오스,[단독특가] 우르오스 지복합성 페이셜케어 기획세트(스킨로션200ml+페이스워시100g),■ 지복합성 피부를 위한 밀크타입 스킨케어 [ 2 in 1 ],34320,1,50,96,피지조절|보습|장벽강화|유연,,,N,1,84,15,4,0,3,0,0,0,0,3,0,0,0,0,0,0,0,,6,N
A000000245710,로션,디오디너리,[산뜻보습] 디오디너리 라이스 리피즈 + 엑토인 마이크로에멀전 120ml,건조한 피부에 24시간 진정&수분을 전달하는 가벼운 제형의 모이스처라이징 에멀전,34200,1,45,100,밀폐보습|유연|보습|장벽강화|항산화|각질제거,,쌀지질 10%; 엑토인 2%,N,0,93,22,3,4,5,0,2,0,0,0,0,0,1,0,0,0,0,,0,Y
A000000205392,로션,피지오겔,피지오겔 시카밸런스 포맨 카밍 플루이드 100ml (단품/기획),모든피부용.,29900,1,31,97,유연|보습|장벽강화|미백|밀폐보습|각질제거|여드름|항산화,"미백:나이아신아마이드, 여드름:살리실릭애씨드",아시아틱애씨드 0.25ppm; 마데카소사이드 0.0245%; 아시아티코사이드 0.4ppm; 마데카식애씨드 0.35ppm,N,0,90,10,5,4,4,0,3,2,0,0,0,1,1,0,0,0,0,,0,Y
A000000209419,로션,제로이드,제로이드 인텐시브 로션 160ml,모든 피부용,28800,1,30,100,보습|장벽강화|밀폐보습|유연|진정|항산화,,,N,0,90,7,7,9,7,1,1,0,0,0,0,0,0,0,0,0,0,,0,Y
A000000261627,로션,메디테라피,메디테라피 스쿠알란 스킨부스터 모이스처라이저 150ml,모든 피부타입,24900,1,33,100,밀폐보습|보습|장벽강화|미백|유연|주름개선|진정|항산화,"미백:나이아신아마이드, 주름개선:아데노신",스쿠알란 8%; 판테놀 3%,N,0,94,15,2,4,3,6,7,2,1,0,0,0,0,0,0,0,0,,0,Y
A000000257083,로션,그라펜,"[개기름,모공개선]그라펜 포어올킬 클린로션 95ml(호박스 공동개발)",모든 피부타입,24000,1,51,98,보습|장벽강화|미백|유연|각질제거|피지흡착|항산화|주름개선|진정|피지조절|밀폐보습,"미백:나이아신아마이드, 주름개선:아데노신",,N,2,92,14,6,1,4,2,7,3,1,3,2,0,1,0,0,0,0,,6,N
A000000223673,로션,미닉,[7초진정/수분쿨링] 미닉 퍼펙트 콜라드 그린 진정 올인원 200ml,모든피부,23500,1,53,96,보습|미백|장벽강화|밀폐보습|유연|피지흡착|주름개선|진정|항산화,"미백:나이아신아마이드, 주름개선:아데노신",,N,0,83,15,3,2,4,3,5,3,1,0,1,0,0,0,0,0,0,,0,Y
A000000195679,로션,아이소이,[개기름/속피지] 아이소이 포맨 아크니 닥터 올인원 100ml 기획 (+진정 올인원 15ml),모든 피부용 (민감피부도 사용가능),23100,1,37,100,보습|장벽강화|피지조절|밀폐보습|항산화|진정|유연,,,N,3,95,12,1,7,6,12,18,0,0,4,0,0,0,0,0,0,0,,2,N
A000000244246,로션,오브제,[덱스PICK/1등올인원] 오브제 모이스처 프로틴 올인원 150ml(단품/기획),모든 피부 타입,21900,1,36,100,유연|보습|장벽강화|미백|밀폐보습|항산화|주름개선|진정,"미백:나이아신아마이드, 주름개선:아데노신",,N,0,86,13,5,2,11,4,5,4,1,0,0,0,0,0,0,0,1,올레익애씨드,0,Y
